图文件前缀,核心结论,证据,图型,尺寸
raw_q1_distance_terrain,距离与沿线最高地形并不完全同序,节点与DEM,散点,7.2×4.2 in
raw_q1_box_demand,S001的货箱数显著高于多数服务区,逐箱清单,堆叠柱,7.2×4.2 in
raw_q1_range_payload,载荷使三机型等效航程按不同曲线下降,机型参数和题面公式,曲线,7.2×4.2 in
process_q1_energy_boundary,S004的C型载荷受能量边界限制,DEM+能量模型,曲线与阈值,7.2×4.2 in
process_q1_rated_soc,部分远距离服务区额定满载时SOC接近或低于20%,DEM+机型参数,热力图,5.3×5.2 in
process_q1_pattern_count,类型压缩后可行组批数随需求规模改变,精确模式枚举,分组柱,7.2×4.2 in
result_q1_safe_payload,C型在部分服务区达不到额定80kg,45个二分载荷结果,热力图,5.3×5.2 in
result_q1_trip_energy,基准方案18架次且各区能耗差异明显,最优架次表,上下柱,7.2×5.0 in
result_q1_reserve_sensitivity,余量30%增至20架次，40%起本模型无可行全覆盖,余量情景重求解,折线与不可行标记,7.2×4.2 in
result_q1_priority_tradeoff,能耗优先只节省0.098kWh却增加一架次,两种精确优化目标,三指标对照,7.2×3.4 in
